,text,emotion,polarity,"yelp_revdf[, 2]",,
453,i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food,joy,neutral,0,,
454,i was so insulted,unknown,negative,0,,
455,the last times i had lunch here has been bad,sadness,negative,0,,
456,the chicken wings contained the driest chicken meat i have ever eaten,unknown,positive,0,,
457,the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc,joy,positive,1,,
458,nargile i think you are great,joy,positive,1,,
459,best tater tots in the southwest,unknown,positive,1,,
460,we loved the place,unknown,positive,1,,
461,definitely not worth the i paid,unknown,positive,0,,
462,the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough,unknown,positive,1,,
463,im in az all the time and now have my new spot,unknown,negative,1,,
464,the manager was the worst,unknown,negative,0,,
465,the inside is really quite nice and very clean,unknown,positive,1,,
466,the food was outstanding and the prices were very reasonable,unknown,positive,1,,
467,i don t think i ll be running back to carly s anytime soon for food,unknown,positive,0,,
468,this is was due to the fact that it took minutes to be acknowledged then another minutes to get our food and they kept forgetting things,sadness,negative,0,,
469,love the margaritas too,joy,positive,1,,
470,this was my first and only vegas buffet and it did not disappoint,unknown,negative,1,,
471,very good though,joy,positive,1,,
472,the one down note is the ventilation could use some upgrading,unknown,positive,0,,
473,great pork sandwich,joy,positive,1,,
474,don t waste your time here,unknown,negative,0,,
475,total letdown i would much rather just go to the camelback flower shop and cartel coffee,unknown,neutral,0,,
476,third the cheese on my friend s burger was cold,joy,neutral,0,,
477,we enjoy their pizza and brunch,joy,positive,1,,
478,the steaks are all well trimmed and also perfectly cooked,unknown,positive,1,,
479,we had a group of when we claimed we would only have and they handled us beautifully,unknown,positive,1,,
480,i loved it,unknown,positive,1,,
481,we asked for the bill to leave without eating and they didn t bring that either,unknown,positive,0,,
482,this place is a jewel in las vegas and exactly what i ve been hoping to find in nearly ten years living here,unknown,positive,1,,
483,seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh,joy,positive,0,,
484,the selection of food was not the best,unknown,positive,0,,
485,delicious and i will absolutely be back,unknown,positive,1,,
486,this isn t a small family restaurant this is a fine dining establishment,unknown,positive,1,,
487,they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle,unknown,positive,1,,
488,i dont think i will be back for a very long time,unknown,positive,0,,
489,it was attached to a gas station and that is rarely a good sign,joy,negative,0,,
490,how awesome is that,unknown,positive,1,,
491,i will be back many times soon,unknown,positive,1,,
492,the menu had so much good stuff on it i could not decide,joy,negative,1,,
493,worse of all he humiliated his worker right in front of me bunch of horrible name callings,fear,negative,0,,
494,conclusion very filling meals,unknown,positive,1,,
495,their daily specials are always a hit with my group,unknown,positive,1,,
496,and then tragedy struck,unknown,negative,0,,
497,the pancake was also really good and pretty large at that,joy,positive,1,,
498,this was my first crawfish experience and it was delicious,unknown,positive,1,,
499,their monster chicken fried steak and eggs is my all time favorite,unknown,neutral,1,,
500,waitress was sweet and funny,unknown,positive,1,,
501,i also had to taste my mom s multi grain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,joy,positive,1,,
502,i d rather eat airline food seriously,unknown,negative,0,,
503,cant say enough good things about this place,joy,positive,1,,
504,the ambiance was incredible,unknown,positive,1,,
505,the waitress and manager are so friendly,joy,positive,1,,
506,i would not recommend this place,unknown,positive,0,,
507,overall i wasn t very impressed with noca,unknown,positive,0,,
508,my gyro was basically lettuce only,unknown,positive,0,,
509,terrible service,fear,negative,0,,
510,thoroughly disappointed,unknown,negative,0,,
511,i don t each much pasta but i love the homemade hand made pastas and thin pizzas here,joy,positive,1,,
512,give it a try you will be happy you did,joy,positive,1,,
513,by far the best cheesecurds we have ever had,unknown,positive,1,,
514,reasonably priced also,unknown,positive,1,,
515,everything was perfect the night we were in,unknown,positive,1,,
516,the food is very good for your typical bar food,joy,neutral,1,,
517,it was a drive to get there,sadness,negative,0,,
518,at first glance it is a lovely bakery cafe nice ambiance clean friendly staff,joy,positive,1,,
519,anyway i do not think i will go back there,unknown,positive,0,,
520,point your finger at any item on the menu order it and you won t be disappointed,unknown,negative,1,,
521,oh this is such a thing of beauty this restaurant,unknown,positive,1,,
522,if you haven t gone here go now,unknown,positive,1,,
523,a greasy unhealthy meal,unknown,negative,0,,
524,first time there and might just be the last,unknown,neutral,0,,
525,those burgers were amazing,surprise,positive,1,,
526,similarly the delivery man did not say a word of apology when our food was minutes late,unknown,positive,0,,
527,and it was way to expensive,unknown,negative,0,,
528,be sure to order dessert even if you need to pack it to go the tiramisu and cannoli are both to die for,unknown,positive,1,,
529,this was my first time and i can t wait until the next,unknown,positive,1,,
530,the bartender was also nice,unknown,positive,1,,
531,everything was good and tasty,joy,positive,1,,
532,this place is two thumbs up way up,unknown,negative,1,,
533,the best place in vegas for breakfast just check out a sat or sun,unknown,positive,1,,
534,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,joy,positive,1,,
535,terrible management,fear,negative,0,,
536,an excellent new restaurant by an experienced frenchman,unknown,positive,1,,
537,if there were zero stars i would give it zero stars,unknown,positive,0,,
538,great steak great sides great wine amazing desserts,joy,positive,1,,
539,worst martini ever,unknown,neutral,0,,
540,the steak and the shrimp are in my opinion the best entrees at gc,unknown,neutral,1,,
541,i had the opportunity today to sample your amazing pizzas,surprise,positive,1,,
542,we waited for thirty minutes to be seated although there were vacant tables and we were the only folks waiting,unknown,negative,0,,
543,the yellowtail carpaccio was melt in your mouth fresh,unknown,positive,1,,
544,i won t try going back there even if it s empty,unknown,negative,0,,
545,no i m going to eat the potato that i found some strangers hair in it,unknown,positive,0,,
546,just spicy enough perfect actually,unknown,positive,1,,
547,last night was my second time dining here and i was so happy i decided to go back,joy,neutral,1,,
548,not even a hello we will be right with you,unknown,positive,0,,
549,the desserts were a bit strange,unknown,negative,0,,
550,my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service,joy,positive,1,,
551,i really do recommend this place you can go wrong with this donut place,unknown,neutral,1,,
552,nice ambiance,unknown,positive,1,,
553,i would recommend saving room for this,unknown,positive,1,,
554,i guess maybe we went on an off night but it was disgraceful,unknown,negative,0,,
555,however my recent experience at this particular location was not so good,joy,positive,0,,
556,i know this is not like the other restaurants at all something is very off here,joy,positive,0,,
557,avoid this establishment,unknown,negative,0,,
558,i think this restaurant suffers from not trying hard enough,unknown,negative,0,,
559,all of the tapas dishes were delicious,unknown,positive,1,,
560,i heart this place,joy,positive,1,,
561,my salad had a bland vinegrette on the baby greens and hearts of palm,unknown,negative,0,,
562,after two i felt disgusting,disgust,negative,0,,
563,a good time,joy,positive,1,,
564,i believe that this place is a great stop for those with a huge belly and hankering for sushi,joy,positive,1,,
565,generous portions and great taste,joy,positive,1,,
566,i will never go back to this place and will never ever recommended this place to anyone,unknown,positive,0,,
567,the servers went back and forth several times not even so much as an are you being helped,unknown,positive,0,,
568,food was delicious,unknown,positive,1,,
569,an hour seriously,unknown,negative,0,,
570,i consider this theft,unknown,positive,0,,
571,eew this location needs a complete overhaul,unknown,positive,0,,
572,we recently witnessed her poor quality of management towards other guests as well,sadness,neutral,0,,
573,waited and waited and waited,unknown,positive,0,,
574,he also came back to check on us regularly excellent service,unknown,positive,1,,
575,our server was super nice and checked on us many times,unknown,positive,1,,
576,the pizza tasted old super chewy in not a good way,joy,neutral,0,,
577,i swung in to give them a try but was deeply disappointed,unknown,negative,0,,
578,service was good and the company was better,joy,positive,1,,
579,the staff are also very friendly and efficient,joy,positive,1,,
580,as for the service i m a fan because it s quick and you re being served by some nice folks,unknown,positive,1,,
581,boy was that sucker dry,unknown,negative,0,,
582,over rated,unknown,positive,0,,
583,if you look for authentic thai food go else where,unknown,positive,0,,
584,their steaks are recommended,unknown,positive,1,,
585,after i pulled up my car i waited for another minutes before being acknowledged,unknown,positive,0,,
586,great food and great service in a clean and friendly setting,joy,positive,1,,
587,all in all i can assure you i ll be back,unknown,positive,1,,
588,i hate those things as much as cheap quality black olives,anger,negative,0,,
589,my breakfast was perpared great with a beautiful presentation of giant slices of toast lightly dusted with powdered sugar,joy,positive,1,,
590,the kids play area is nasty,unknown,negative,0,,
591,great place fo take out or eat in,joy,positive,1,,
592,the waitress was friendly and happy to accomodate for vegan veggie options,joy,positive,1,,
593,omg i felt like i had never eaten thai food until this dish,joy,positive,1,,
594,it was extremely crumby and pretty tasteless,unknown,neutral,0,,
595,it was a pale color instead of nice and char and has no flavor,unknown,neutral,0,,
596,the croutons also taste homemade which is an extra plus,joy,positive,1,,
597,i got home to see the driest damn wings ever,unknown,neutral,0,,
598,it ll be a regular stop on my trips to phoenix,unknown,positive,1,,
599,i really enjoyed crema café before they expanded i even told friends they had the best breakfast,unknown,positive,1,,
600,not good for the money,joy,positive,0,,
601,i miss it and wish they had one in philadelphia,unknown,neutral,1,,
602,we got sitting fairly fast but ended up waiting minutes just to place our order another minutes before the food arrived,unknown,positive,0,,
603,they also have the best cheese crisp in town,unknown,positive,1,,
604,good value great food great service,joy,positive,1,,
605,couldn t ask for a more satisfying meal,joy,negative,1,,
606,the food is good,joy,positive,1,,
607,it was awesome,unknown,positive,1,,
608,i just wanted to leave,unknown,positive,0,,
609,we made the drive all the way from north scottsdale and i was not one bit disappointed,unknown,negative,1,,
610,i will not be eating there again,unknown,positive,0,,
611,the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one,unknown,negative,0,,
612,i checked out this place a couple years ago and was not impressed,unknown,positive,0,,
613,the chicken i got was definitely reheated and was only ok the wedges were cold and soggy,unknown,neutral,0,,
614,sorry i will not be getting food from here anytime soon,sadness,neutral,0,,
615,an absolute must visit,unknown,positive,1,,
616,the cow tongue and cheek tacos are amazing,fear,neutral,1,,
617,my friend did not like his bloody mary,joy,neutral,0,,
618,despite how hard i rate businesses its actually rare for me to give a star,anger,negative,0,,
619,they really want to make your experience a good one,joy,positive,1,,
620,i will not return,unknown,positive,0,,
621,i had the chicken pho and it tasted very bland,unknown,negative,0,,
622,very disappointing,unknown,negative,0,,
623,the grilled chicken was so tender and yellow from the saffron seasoning,joy,positive,1,,
624,a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait,unknown,positive,0,,
625,pretty awesome place,unknown,positive,1,,
626,ambience is perfect,unknown,positive,1,,
627,best of luck to the rude and non customer service focused new management,surprise,neutral,0,,
628,any grandmother can make a roasted chicken better than this one,unknown,positive,0,,
629,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself,unknown,negative,0,,
630,the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby,joy,positive,1,,
631,four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat,joy,positive,1,,
632,the roast beef sandwich tasted really good,joy,positive,1,,
633,same evening him and i are both drastically sick,disgust,negative,0,,
634,high quality chicken on the chicken caesar salad,anger,positive,1,,
635,ordered burger rare came in we ll done,unknown,positive,0,,
636,we were promptly greeted and seated,unknown,positive,1,,
637,tried to go here for lunch and it was a madhouse,unknown,positive,0,,
638,i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable,joy,negative,1,,
639,after waiting an hour and being seated i was not in the greatest of moods,unknown,positive,0,,
640,this is a good joint,joy,positive,1,,
641,the macarons here are insanely good,joy,negative,1,,
642,i m not eating here,unknown,positive,0,,
643,our waiter was very attentive friendly and informative,joy,positive,1,,
644,maybe if they weren t cold they would have been somewhat edible,unknown,negative,0,,
645,this place has a lot of promise but fails to deliver,unknown,positive,0,,
646,very bad experience,sadness,negative,0,,
647,what a mistake,unknown,negative,0,,
648,food was average at best,unknown,positive,0,,
649,great food,joy,positive,1,,
650,we won t be going back anytime soon,unknown,positive,0,,
651,very very disappointed ordered the big bay plater,unknown,negative,0,,
652,great place to relax and have an awesome burger and beer,joy,positive,1,,
653,it is perfect for a sit down family meal or get together with a few friends,joy,positive,1,,
654,not much flavor to them and very poorly constructed,unknown,negative,0,,
655,the patio seating was very comfortable,joy,positive,1,,
656,the fried rice was dry as well,unknown,positive,0,,
657,hands down my favorite italian restaurant,unknown,positive,1,,
658,that just screams legit in my book somethat s also pretty rare here in vegas,unknown,positive,1,,
659,it was just not a fun experience,unknown,neutral,1,,
660,the atmosphere was great with a lovely duo of violinists playing songs we requested,joy,positive,1,,
661,i personally love the hummus pita baklava falafels and baba ganoush it s amazing what they do with eggplant,joy,positive,1,,
662,very convenient since we were staying at the mgm,unknown,positive,1,,
663,the owners are super friendly and the staff is courteous,joy,positive,1,,
664,both great,joy,positive,1,,
665,eclectic selection,unknown,positive,1,,
666,the sweet potato tots were good but the onion rings were perfection or as close as i have had,joy,positive,1,,
667,the staff was very attentive,unknown,positive,1,,
668,and the chef was generous with his time even came around twice so we can take pictures with him,unknown,positive,1,,
669,the owner used to work at nobu so this place is really similar for half the price,unknown,positive,1,,
670,google mediocre and i imagine smashburger will pop up,unknown,neutral,0,,
671,dont go here,unknown,positive,0,,
672,i promise they won t disappoint,unknown,neutral,1,,
673,as a sushi lover avoid this place by all means,unknown,neutral,0,,
674,what a great double cheeseburger,joy,positive,1,,
675,awesome service and food,unknown,positive,1,,
676,a fantastic neighborhood gem,surprise,positive,1,,
677,i can t wait to go back,unknown,positive,1,,
678,the plantains were the worst i ve ever tasted,unknown,neutral,0,,
679,it s a great place and i highly recommend it,joy,positive,1,,
680,service was slow and not attentive,unknown,neutral,0,,
681,i gave it stars then and i m giving it stars now,unknown,positive,1,,
682,your staff spends more time talking to themselves than me,unknown,positive,0,,
683,dessert panna cotta was amazing,surprise,positive,1,,
684,very good food great atmosphere,joy,positive,1,,
685,damn good steak,joy,negative,1,,
686,total brunch fail,unknown,negative,0,,
687,prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo,unknown,neutral,1,,
688,the decor is nice and the piano music soundtrack is pleasant,unknown,positive,1,,
689,the steak was amazing rge fillet relleno was the best seafood plate i have ever had,surprise,positive,1,,
690,good food good service,joy,positive,1,,
691,it was absolutely amazing,surprise,positive,1,,
692,i probably won t be back to be honest,unknown,positive,0,,
693,will definitely be back,unknown,positive,1,,
694,the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well,unknown,positive,1,,
695,hawaiian breeze mango magic and pineapple delight are the smoothies that i ve tried so far and they re all good,joy,positive,1,,
696,went for lunch service was slow,unknown,negative,0,,
697,we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed,surprise,neutral,0,,
698,i was mortified,unknown,negative,0,,
699,needless to say we will never be back here again,unknown,neutral,0,,
700,anyways the food was definitely not filling at all and for the price you pay you should expect more,joy,negative,0,,
701,the chips that came out were dripping with grease and mostly not edible,unknown,positive,0,,
702,i wasn t really impressed with strip steak,unknown,positive,0,,
703,have been going since and every meal has been awesome,unknown,positive,1,,
704,our server was very nice and attentive as were the other serving staff,unknown,positive,1,,
705,the cashier was friendly and even brought the food out to me,joy,positive,1,,
706,i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer,unknown,positive,0,,
707,the atmosphere here is fun,unknown,negative,1,,
708,would not recommend to others,unknown,positive,0,,
709,service is quick and even to go orders are just like we like it,joy,positive,1,,
710,i mean really how do you get so famous for your fish and chips when it s so terrible,fear,negative,0,,
711,that said our mouths and bellies were still quite pleased,joy,positive,1,,
712,not my thing,unknown,positive,0,,
713,thumbs up,unknown,negative,1,,
714,if you are reading this please don t go there,joy,positive,0,,
715,i loved the grilled pizza reminded me of legit italian pizza,unknown,positive,1,,
716,only pros large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough,joy,positive,1,,
717,they have a really nice atmosphere,unknown,positive,1,,
718,tonight i had the elk filet special and it sucked,unknown,positive,0,,
719,after one bite i was hooked,unknown,positive,1,,
720,we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything,unknown,negative,0,,
721,cute quaint simple honest,unknown,positive,1,,
722,the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside,unknown,neutral,1,,
723,the food was great as always compliments to the chef,joy,positive,1,,
724,special thanks to dylan t for the recommendation on what to order all yummy for my tummy,unknown,positive,1,,
725,awesome selection of beer,unknown,positive,1,,
726,great food and awesome service,joy,positive,1,,
727,one nice thing was that they added gratuity on the bill since our party was larger than or and they didn t expect more tip than that,joy,positive,1,,
728,a fly was in my apple juice a fly,unknown,positive,0,,
729,the han nan chicken was also very tasty,fear,positive,1,,
730,as for the service i thought it was good,joy,positive,1,,
731,the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us,unknown,negative,0,,
732,ryan s bar is definitely one edinburgh establishment i won t be revisiting,joy,neutral,0,,
733,nicest chinese restaurant i ve been in a while,unknown,positive,1,,
734,overall i like there food and the service,joy,positive,1,,
735,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,unknown,neutral,1,,
736,probably never coming back and wouldn t recommend it,unknown,positive,0,,
737,friend s pasta also bad he barely touched it,joy,negative,0,,
738,try them in the airport to experience some tasty food and speedy friendly service,joy,positive,1,,
739,i love the decor with the chinese calligraphy wall paper,joy,neutral,1,,
740,never had anything to complain about here,unknown,negative,1,,
741,the restaurant is very clean and has a family restaurant feel to it,unknown,positive,1,,
742,it was way over fried,unknown,negative,0,,
743,i m not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place,unknown,neutral,0,,
744,when i opened the sandwich i was impressed but not in a good way,joy,negative,0,,
745,will not be back,unknown,positive,0,,
746,there was a warm feeling with the service and i felt like their guest for a special treat,joy,positive,1,,
747,an extensive menu provides lots of options for breakfast,unknown,positive,1,,
748,i always order from the vegetarian menu during dinner which has a wide array of options to choose from,unknown,positive,1,,
749,i have watched their prices inflate portions get smaller and management attitudes grow rapidly,sadness,negative,0,,
750,wonderful lil tapas and the ambience made me feel all warm and fuzzy inside,joy,neutral,1,,
751,i got to enjoy the seafood salad with a fabulous vinegrette,joy,positive,1,,
752,the wontons were thin not thick and chewy almost melt in your mouth,unknown,positive,1,,
753,level spicy was perfect where spice didn t over whelm the soup,unknown,positive,1,,
754,we were sat right on time and our server from the get go was fantastic,surprise,neutral,1,,
755,main thing i didn t enjoy is that the crowd is of older crowd around mid s and up,joy,negative,0,,
756,when i m on this side of town this will definitely be a spot i ll hit up again,unknown,neutral,1,,
757,i had to wait over minutes to get my drink and longer to get arepas,sadness,negative,0,,
758,this is a great place to eat,joy,positive,1,,
759,the jalapeno bacon is soooo good,joy,positive,1,,
760,the service was poor and thats being nice,sadness,neutral,0,,
761,food was good service was good prices were good,joy,positive,1,,
762,the place was not clean and the food oh so stale,unknown,negative,0,,
763,the chicken dishes are ok the beef is like shoe leather,joy,positive,0,,
764,but the service was beyond bad,sadness,negative,0,,
765,i m so happy to be here,joy,positive,1,,
766,tasted like dirt,joy,neutral,0,,
767,one of the few places in phoenix that i would definately go back to again,unknown,positive,1,,
768,the block was amazing,surprise,neutral,1,,
769,it s close to my house it s low key non fancy affordable prices good food,joy,neutral,1,,
770,both the hot sour the egg flower soups were absolutely stars,unknown,neutral,1,,
771,my sashimi was poor quality being soggy and tasteless,sadness,negative,0,,
772,great time family dinner on a sunday night,joy,positive,1,,
773,the food is not tasty at all not to say its real traditional hunan style,unknown,positive,0,,
774,what did bother me was the slow service,anger,negative,0,,
775,the flair bartenders are absolutely amazing,surprise,positive,1,,
776,their frozen margaritas are way too sugary for my taste,joy,negative,0,,
777,these were so good we ordered them twice,joy,positive,1,,
778,so in a nutshell the restaraunt smells like a combination of a dirty fish market and a sewer,joy,neutral,0,,
779,my girlfriend s veal was very bad,sadness,negative,0,,
780,unfortunately it was not good,joy,negative,0,,
781,i had a pretty satifying experience,unknown,positive,1,,
782,join the club and get awesome offers via email,sadness,neutral,1,,
783,perfect for someone me who only likes beer ice cold or in this case even colder,unknown,neutral,1,,
784,bland and flavorless is a good way of describing the barely tepid meat,joy,negative,0,,
785,the chains which i m no fan of beat this place easily,surprise,positive,0,,
786,the nachos are a must have,unknown,positive,1,,
787,we will not be coming back,unknown,positive,0,,
788,i don t have very many words to say about this place but it does everything pretty well,unknown,positive,1,,
789,the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff,unknown,positive,1,,
790,great atmosphere friendly and fast service,joy,positive,1,,
791,when i received my pita it was huge it did have a lot of meat in it so thumbs up there,unknown,negative,1,,
792,once your food arrives it s meh,unknown,positive,0,,
793,paying for a hot dog and fries that looks like it came out of a kid s meal at the wienerschnitzel is not my idea of a good meal,joy,positive,0,,
794,the classic maine lobster roll was fantastic,surprise,neutral,1,,
795,my brother in law who works at the mall ate here same day and guess what he was sick all night too,disgust,neutral,0,,
796,so good i am going to have to review this place twice once hereas a tribute to the place and once as a tribute to an event held here last night,joy,positive,1,,
797,the chips and salsa were really good the salsa was very fresh,joy,positive,1,,
798,this place is great,joy,positive,1,,
799,mediocre food,unknown,negative,0,,
800,once you get inside you ll be impressed with the place,sadness,negative,1,,
801,i m super pissd,unknown,positive,0,,
802,and service was super friendly,joy,positive,1,,
803,why are these sad little vegetables so overcooked,sadness,negative,0,,
804,this place was such a nice surprise,surprise,positive,1,,
805,they were golden crispy and delicious,unknown,positive,1,,
806,i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat,anger,negative,0,,
807,i could eat their bruschetta all day it is devine,unknown,positive,1,,
808,not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food,unknown,positive,0,,
809,lastly the mozzarella sticks they were the best thing we ordered,unknown,positive,1,,
810,the first time i ever came here i had an amazing experience i still tell people how awesome the duck was,surprise,positive,1,,
811,the server was very negligent of our needs and made us feel very unwelcome i would not suggest this place,unknown,negative,0,,
812,the service was terrible though,fear,negative,0,,
813,this place is overpriced not consistent with their boba and it really is overpriced,unknown,positive,0,,
814,it was packed,unknown,positive,0,,
815,i love this place,joy,positive,1,,
816,i can say that the desserts were yummy,unknown,positive,1,,
817,the food was terrible,fear,negative,0,,
818,the seasonal fruit was fresh white peach puree,unknown,positive,1,,
819,it kept getting worse and worse so now i m officially done,unknown,negative,0,,
820,this place should honestly be blown up,unknown,positive,0,,
821,but i definitely would not eat here again,unknown,positive,0,,
822,do not waste your money here,unknown,negative,0,,
823,i love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes,joy,neutral,1,,
824,the crêpe was delicate and thin and moist,unknown,positive,1,,
825,awful service,fear,negative,0,,
826,won t ever go here again,unknown,positive,0,,
827,food quality has been horrible,fear,negative,0,,
828,for that price i can think of a few place i would have much rather gone,unknown,positive,0,,
829,the service here is fair at best,unknown,positive,0,,
830,i do love sushi but i found kabuki to be over priced over hip and under services,joy,positive,0,,
831,do yourself a favor and stay away from this dish,joy,positive,0,,
832,very poor service,sadness,negative,0,,
833,no one at the table thought the food was above average or worth the wait that we had for it,unknown,positive,0,,
834,best service and food ever maria our server was so good and friendly she made our day,joy,positive,1,,
835,they were excellent,unknown,positive,1,,
836,i paid the bill but did not tip because i felt the server did a terrible job,fear,negative,0,,
837,just had lunch here and had a great experience,joy,positive,1,,
838,i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor,surprise,negative,0,,
839,food is way overpriced and portions are fucking small,unknown,negative,0,,
840,i recently tried caballero s and i have been back every week since,unknown,positive,1,,
841,for bucks a head i really expect better food,joy,positive,0,,
842,the food came out at a good pace,joy,positive,1,,
843,i ate there twice on my last visit and especially enjoyed the salmon salad,unknown,neutral,1,,
844,i won t be back,unknown,positive,0,,
845,we could not believe how dirty the oysters were,unknown,negative,0,,
846,this place deserves no stars,unknown,positive,0,,
847,i would not recommend this place,unknown,positive,0,,
848,in fact i m going to round up to stars just because she was so awesome,unknown,positive,1,,
849,to my disbelief each dish qualified as the worst version of these foods i have ever tasted,unknown,negative,0,,
850,bad day or not i have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise,sadness,negative,0,,
851,the potatoes were great and so was the biscuit,joy,positive,1,,
852,i probably would not go here again,unknown,positive,0,,
853,so flavorful and has just the perfect amount of heat,unknown,neutral,1,,
854,the price is reasonable and the service is great,joy,positive,1,,
855,the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either,joy,positive,0,,
856,my fella got the huevos rancheros and they didn t look too appealing,unknown,positive,0,,
857,went in for happy hour great list of wines,joy,neutral,1,,
858,some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot,sadness,negative,1,,
859,i probably won t be coming back here,unknown,positive,0,,
860,worst food service i ve had in a while,unknown,negative,0,,
861,this place is pretty good nice little vibe in the restaurant,joy,positive,1,,
862,talk about great customer service of course we will be back,joy,positive,1,,
863,hot dishes are not hot cold dishes are close to room temp i watched staff prepare food with bare hands no gloves everything is deep fried in oil,anger,negative,0,,
864,i love their fries and their beans,joy,positive,1,,
865,always a pleasure dealing with him,unknown,positive,1,,
866,they have a plethora of salads and sandwiches and everything i ve tried gets my seal of approval,joy,positive,1,,
867,this place is awesome if you want something light and healthy during the summer,unknown,positive,1,,
868,for sushi on the strip this is the place to go,unknown,positive,1,,
869,the service was great even the manager came and helped with our table,joy,positive,1,,
870,the feel of the dining room was more college cooking course than high class dining and the service was slow at best,anger,neutral,0,,
871,i started this review with two stars but i m editing it to give it only one,unknown,positive,0,,
872,this is the worst sushi i have ever eat besides costco s,unknown,neutral,0,,
873,all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting,joy,positive,1,,
874,my boyfriend and i sat at the bar and had a completely delightful experience,joy,neutral,1,,
875,weird vibe from owners,unknown,negative,0,,
876,there was hardly any meat,unknown,negative,0,,
877,i ve had better bagels from the grocery store,unknown,positive,0,,
878,go to place for gyros,unknown,positive,1,,
879,i love the owner chef his one authentic japanese cool dude,joy,positive,1,,
880,now the burgers aren t as good the pizza which used to be amazing is doughy and flavorless,joy,positive,0,,
881,i found a six inch long piece of wire in my salsa,unknown,negative,0,,
882,the service was terrible food was mediocre,fear,negative,0,,
883,we definately enjoyed ourselves,unknown,positive,1,,
884,i ordered albondigas soup which was just warm and tasted like tomato soup with frozen meatballs,joy,positive,0,,
885,on three different occasions i asked for well done or medium well and all three times i got the bloodiest piece of meat on my plate,unknown,positive,0,,
886,i had about two bites and refused to eat anymore,unknown,positive,0,,
887,the service was extremely slow,unknown,negative,0,,
888,after minutes wait i got a table,unknown,positive,0,,
889,seriously killer hot chai latte,unknown,negative,1,,
890,no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts,unknown,positive,0,,
891,my boyfriend tried the mediterranean chicken salad and fell in love,joy,neutral,1,,
892,their rotating beers on tap is also a highlight of this place,unknown,positive,1,,
893,pricing is a bit of a concern at mellow mushroom,joy,neutral,0,,
894,worst thai ever,unknown,neutral,0,,
895,if you stay in vegas you must get breakfast here at least once,sadness,negative,1,,
896,i want to first say our server was great and we had perfect service,joy,positive,1,,
897,the pizza selections are good,joy,positive,1,,
898,i had strawberry tea which was good,joy,positive,1,,
899,highly unprofessional and rude to a loyal patron,unknown,negative,0,,
900,overall a great experience,joy,positive,1,,
901,spend your money elsewhere,unknown,positive,0,,
902,their regular toasted bread was equally satisfying with the occasional pats of butter mmmm,joy,positive,1,,
903,the buffet at bellagio was far from what i anticipated,unknown,positive,0,,
904,and the drinks are weak people,joy,negative,0,,
905,,unknown,positive,0,,
906,also i feel like the chips are bought not made in house,joy,positive,0,,
907,after the disappointing dinner we went elsewhere for dessert,unknown,negative,0,,
908,the chips and sals a here is amazing,surprise,positive,1,,
909,we won t be returning,unknown,positive,0,,
910,this is my new fav vegas buffet spot,unknown,negative,1,,
911,i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off,joy,negative,0,,
912,very very sad,sadness,negative,0,,
913,i felt insulted and disrespected how could you talk and judge another human being like that,joy,neutral,0,,
914,how can you call yourself a steakhouse if you can t properly cook a steak i don t understand,unknown,neutral,0,,
