,text,emotion,polarity,"amazon_revdf[, 2]",,
492,it is super charged up for use as a small hybrid palmtop camera cellphone and excels in those roles,unknown,positive,1,,
493,i would definitely recommend the jabra bt v for those who are looking for comfort clarity and a great price,joy,positive,1,,
494,i had verizon years ago and really liked their service,unknown,positive,1,,
495,pretty piece of junk,unknown,neutral,0,,
496,plug was the wrong size,unknown,negative,0,,
497,works as described,unknown,positive,1,,
498,save your money i ve had this item for months now,unknown,positive,0,,
499,bad purchase,sadness,negative,0,,
500,well im satisfied,joy,positive,1,,
501,the bose noise cancelling is amazing which is very important for a nyc commuter,surprise,positive,1,,
502,this battery is an excellent bargain,unknown,positive,1,,
503,defective crap,unknown,negative,0,,
504,i would have given no star if i was able,unknown,positive,0,,
505,i wear glasses and it fits fine with them,unknown,positive,1,,
506,the sound quality for the device is unacceptable unless you are in a really quiet area you almost hear nothing,unknown,negative,0,,
507,i would not recommend this item to anyone,unknown,positive,0,,
508,the holster that arrived did not match the photo in the ad,unknown,positive,0,,
509,great no problems at all,joy,neutral,1,,
510,as an earlier review noted plug in this charger and nothing happens,unknown,positive,0,,
511,this frog phone charm is adorable and very eye catching,joy,positive,1,,
512,you never know if you pushed it hard enough or the right number of times for the function you want or not,unknown,positive,0,,
513,the sound is clear and the people i talk to on it are amazed at the quality too,surprise,positive,1,,
514,i got the aluminum case for my new palm vx and it worked really well it has protected my handheld perfectly so far,unknown,positive,1,,
515,very good product well made,joy,positive,1,,
516,mobile phone tools are a must have,unknown,positive,1,,
517,i am very impressed with the job that motorola did on the sturdiness of this phone,unknown,negative,1,,
518,i received my orders well within the shipping timeframe everything was in good working order and overall i am very excited to have this source,joy,positive,1,,
519,the phone is sturdy and waterproof,unknown,positive,1,,
520,i am not impressed with this and i would not recommend this item to anyone,unknown,positive,0,,
521,my only complaint is the standard sound volume is a little low even when turned up to of,sadness,negative,0,,
522,thanks again to amazon for having the things i need for a good price,joy,neutral,1,,
523,i ended up sliding it on the edge of my pants or back pockets instead,unknown,positive,1,,
524,i had to go to a store and bought a new nokia phone which is working great,joy,positive,1,,
525,works great,joy,positive,1,,
526,really ugly,fear,negative,0,,
527,horrible had to switch times,fear,negative,0,,
528,the noise shield is incrediable,unknown,positive,1,,
529,no real improvement,unknown,positive,0,,
530,razr battery good buy,joy,positive,1,,
531,keep up the good work amazon,joy,positive,1,,
532,they refuse to refund or replace,unknown,negative,0,,
533,unfortunately it s easy to accidentally activate them with the gentle touch buttons if you accidentally touch the phone to your face while listening,unknown,negative,0,,
534,so i basically threw my money out the window for nothing,unknown,positive,0,,
535,great case and price,joy,positive,1,,
536,all it took was one drop from about inches above the kitchen counter and it was cracked i am not impressed and i am not laughing,unknown,negative,0,,
537,bluetooth range is good a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch,joy,negative,1,,
538,small sleek impressive looking practical setup with ample storage in place,unknown,positive,1,,
539,the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,unknown,positive,1,,
540,none of the new ones have ever quite worked properly,unknown,neutral,0,,
541,i am glad i purchased it,joy,positive,1,,
542,i ve missed numerous calls because of this reason,unknown,positive,0,,
543,perhaps my phone is defective but people cannot hear me when i use this,unknown,negative,0,,
544,don t buy this product,unknown,positive,0,,
545,sucked most of the stuff does not work with my phone,unknown,neutral,0,,
546,no shifting no bubbling no peeling not even a scratch nothing i couldn t be more happier with my new one for the droid,unknown,positive,1,,
547,worst software ever used if i could give this zero stars i would,unknown,neutral,0,,
548,trying to make a call on these is an exercise in frustration,anger,negative,0,,
549,the case is a flimsy piece of plastic and has no front or side protection whatsoever,unknown,neutral,0,,
550,i own a jabra earset and was very happy with it but the sound quality especially outgoing on this is better,joy,positive,1,,
551,i love the camera it s really pretty good quality,joy,positive,1,,
552,thank you for such great service,joy,positive,1,,
553,its a total package,unknown,negative,1,,
554,the seller is very understanding and patient i would definitely buy from them again,unknown,positive,1,,
555,i give wirefly star i will contact cingular at t and inform them of this practice,unknown,positive,0,,
556,it s aggravating,unknown,negative,0,,
557,great product for the price,joy,positive,1,,
558,i have purchased these for both family and friends and all enjoy their clarity and ease of use,joy,positive,1,,
559,virgin wireless rocks and so does this cheap little phone,unknown,negative,1,,
560,none of it works just don t buy it,unknown,neutral,0,,
561,muddy low quality sound and the casing around the wire s insert was poorly super glued and slid off,sadness,negative,0,,
562,please dont waste your money,joy,neutral,0,,
563,all in all i m quite satisfied with this purchase,joy,positive,1,,
564,if you are looking for a good quality motorola headset keep looking this isn t it,joy,positive,0,,
565,yet plantronincs continues to use the same flawed charger design,unknown,negative,0,,
566,disapointing results,unknown,positive,0,,
567,cumbersome design,unknown,negative,0,,
568,great it was new packaged nice works good no problems and it came in less time then i expected,joy,neutral,1,,
569,great product,joy,positive,1,,
570,it s a piece of crap,unknown,positive,0,,
571,my experience was terrible this was my fourth bluetooth headset and while it was much more comfortable than my last jabra which i hated,fear,negative,0,,
572,this fixes all the problems,unknown,negative,1,,
573,worst ever,unknown,neutral,0,,
574,i am very happy,joy,positive,1,,
575,i ve had no trouble accessing the internet downloading ringtones or performing any of the functions,unknown,negative,1,,
576,i can barely ever hear on it and am constantly saying what,unknown,neutral,0,,
577,the battery life is highly unacceptable,unknown,negative,0,,
578,that company is a joke,unknown,positive,0,,
579,it does everything the description said it would,unknown,positive,1,,
580,due to this happening on every call i was forced to stop using this headset,unknown,negative,0,,
581,it works great with a car charger especially if you cannot plug in two adapters at the same time,joy,positive,1,,
582,verizon tech support walked my through a few procedures none of which worked and i ended up having to do a hard re set wiping out all my data,unknown,negative,0,,
583,voice quality signal strength dropped calls,unknown,positive,0,,
584,it plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however it s not,sadness,negative,1,,
585,better than expected,unknown,positive,1,,
586,it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them,unknown,negative,0,,
587,battery is holding up well,unknown,positive,1,,
588,also difficult to put on i d recommend avoiding this product,unknown,neutral,0,,
589,i only used it two days and it wasn t always easy to hear with,unknown,positive,0,,
590,i got the car charger and not even after a week the charger was broken i went to plug it in and it started smoking,unknown,negative,0,,
591,sprint terrible customer service,fear,negative,0,,
592,linked to my phone without effort,unknown,positive,1,,
593,they are so cool,unknown,positive,1,,
594,easy to use,unknown,positive,1,,
595,better than new,unknown,positive,1,,
596,what possesed me to get this junk i have no idea,sadness,negative,0,,
597,piece of trash,unknown,positive,0,,
598,a pretty good product,joy,positive,1,,
599,this is a great phone,joy,positive,1,,
600,for the price on amazon it is an excellent product which i would highly recommend,unknown,positive,1,,
601,their research and development division obviously knows what they re doing,unknown,negative,1,,
602,the real killer is the volume and of course it breaking,unknown,neutral,0,,
603,those phones are working just fine now,unknown,positive,1,,
604,i am more than happy with this product,joy,positive,1,,
605,poor construction,sadness,negative,0,,
606,this is infuriating,anger,negative,0,,
607,overall i would recommend this phone over the new walkman,unknown,positive,1,,
608,sprint charges for this service,unknown,positive,0,,
609,it is cheap and it feel and look just as cheap,unknown,neutral,0,,
610,it fits my ear well and is comfortable on,joy,positive,1,,
611,it doesn t work in europe or asia,unknown,positive,0,,
612,clipping this to your belt will deffinitely make you feel like cent s up and coming,joy,positive,1,,
613,i like design and look of jabra behing the ear headsets and is pretty comfortible to wear hours a day without pain in the ear,joy,neutral,1,,
614,i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price,surprise,positive,1,,
615,the worst phone from samsung crap this crappy samsung e is the worst i have ever seeen,unknown,neutral,0,,
616,the charger worked for about a week and then completely stopped charging my phone,unknown,positive,0,,
617,poor product,sadness,neutral,0,,
618,however i needed some better instructions,unknown,positive,0,,
619,you need two hands to operate the screen this software interface is decade old and cannot compete with new software designs,unknown,neutral,0,,
620,worked very well paired with a treo w and as a skype headset on my pc using a usb bluetooth transceiver,unknown,positive,1,,
621,steer clear of this product and go with the genuine palm replacementr pens which come in a three pack,unknown,positive,0,,
622,do not buy do not buyit sucks,unknown,positive,0,,
623,this is a great product sure beats using your fingers,joy,positive,1,,
624,plus i seriously do not believe it is worth its steep price point,unknown,neutral,0,,
625,all the other cases i ve tried normally fall apart after a few months but this one seems to be in for the long haul,unknown,negative,1,,
626,very dissapointing performance,unknown,positive,0,,
627,don t make the same mistake that i did and please don t buy this phone,joy,neutral,0,,
628,this phone might well be the worst i ve ever had in any brand,unknown,positive,0,,
629,case was more or less an extra that i originally put on but later discarded because it scratched my ear,unknown,negative,0,,
630,i recommend igo to anyone with different brand cell phones mp players in the family,unknown,positive,1,,
631,don t bother go to the store,anger,negative,0,,
632,i posted more detailed comments under the grey or black phone but i have the fire red and it s a great color,joy,neutral,1,,
633,i did not have any problem with this item and would order it again if needed,unknown,neutral,1,,
634,you get what you pay for i guess,sadness,negative,0,,
635,not only did the software do a great job of this i could also make my own ringtones form my existing cds without an internet connection,joy,negative,1,,
636,im surprised this is a good quality car charger and there s not much reviews about it,joy,positive,1,,
637,these are fabulous,unknown,positive,1,,
638,however bt headsets are currently not good for real time games like first person shooters since the audio delay messes me up,joy,positive,0,,
639,i used bitpim a free program you can find on the internet to transfer data to the phone the price of the cable was excellent,unknown,positive,1,,
640,disappointing accessory from a good manufacturer,joy,negative,0,,
641,performed awful muffled tinny incoming sound and severe echo for those on the other end of the call,fear,negative,0,,
642,very wind resistant,unknown,negative,1,,
643,obviously they have a terrible customer service so you get what you pay for,fear,negative,0,,
644,they do not last forever but is not overly expensive to replace easy to operate and the sound is much better than others i have tried,unknown,neutral,1,,
645,i contacted the company and they told me that although the unit was still under warranty if i couldn t produce my receipt i was out of luck,unknown,neutral,0,,
646,linksys should have some way to exchange a bad phone for a refurb unit or something,sadness,negative,0,,
647,phone is sturdy as all nokia bar phones are,joy,neutral,1,,
648,great phone,joy,positive,1,,
649,when i placed my treo into the case not only was it not snug but there was a lot of extra room on the sides,unknown,positive,0,,
650,i m pleased,joy,positive,1,,
651,battery is terrible,fear,negative,0,,
652,i found the product to be easy to set up and use,unknown,positive,1,,
653,the earpiece on this is too large or too heavy it keeps falling out of my ear,unknown,positive,0,,
654,utter crap sound quality is terrible,fear,negative,0,,
655,the charger arrived within the promised timeframe but it did not work,unknown,positive,0,,
656,no ear loop needed it s tiny and the sound is great,joy,neutral,1,,
657,finally after three or four times the spring of the latch broke and i could not use it any longer on the visor,unknown,negative,0,,
658,the handsfree part works fine but then the car tries to download the address book and the treo reboots overall i still rate this device high,anger,positive,1,,
659,talk about useless customer service,unknown,negative,0,,
660,it felt too light and tinny,unknown,positive,0,,
661,this does not fit the palm tungsten e and it broke the first time i tried to plug it in,anger,neutral,0,,
662,i m happy about this purchase good quality and low price,joy,neutral,1,,
663,i love the look and feel of samsung flipphones,joy,positive,1,,
664,its well designed and very sharp the blue is a very nice color,sadness,positive,1,,
665,does everything it should and more,unknown,positive,1,,
666,i could not recommend these more,unknown,positive,0,,
667,nice sound,unknown,positive,1,,
668,looks good in the picture but this case was a huge disappointment,joy,neutral,0,,
669,much less than the jawbone i was going to replace it with,unknown,negative,1,,
670,setup went very smoothly,unknown,negative,1,,
671,its extremely slow and takes forever to do anything with it,unknown,negative,0,,
672,a must study for anyone interested in the worst sins of industrial design,unknown,negative,0,,
673,the first thing that happened was that the tracking was off,unknown,positive,0,,
674,it is well made easy to access the phone and has a handy detachable belt clip,unknown,positive,1,,
675,then i had to continue pairing it periodically since it somehow kept dropping,unknown,positive,0,,
676,can t upload ringtones from a third party,unknown,positive,0,,
677,bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked,unknown,positive,0,,
678,truly awful,fear,neutral,0,,
679,it works fine on my motorola cellphone and a lot better than the worn out battery did,unknown,neutral,1,,
680,the volume for the ringer is real good you have choices how loud,joy,positive,1,,
681,and none of the tones is acceptable,unknown,neutral,0,,
682,camera color balance is awful,fear,neutral,0,,
683,this product is clearly not ready for prime time i don t care how cool it looks if you can t tell a call is coming in it s worthless,joy,neutral,0,,
684,i love the ringtones because they are so upbeat,joy,positive,1,,
685,chinese forgeries abound,unknown,positive,0,,
686,easy to pair with my samsung cell,unknown,positive,1,,
687,the instructions didn t explain that a microphone jack could be used,unknown,positive,0,,
688,i would advise to not purchase this item it never worked very well,unknown,positive,0,,
689,too bad you have to pay up to a month for the service,sadness,negative,0,,
690,works well,unknown,positive,1,,
691,the nokia ca usb cable did not work with my phone,unknown,positive,0,,
692,clear crisp sound,unknown,positive,1,,
693,i have to use the smallest earpieces provided but it stays on pretty well,unknown,positive,1,,
694,the biggest complaint i have is the battery drains superfast,unknown,negative,0,,
695,the design might be ergonomic in theory but i could not stand having these in my ear,unknown,positive,0,,
696,do not buy if you want to use the holster,unknown,positive,0,,
697,the phone can also take great pictures and even video clips,joy,positive,1,,
698,it doesn t make you look cool,unknown,positive,0,,
699,because both ears are occupied background is not distracting at all,unknown,negative,1,,
700,comfortable fit you need your headset to be comfortable for at least an hour at a time if not for an entire day,anger,neutral,1,,
701,also the phone doesn t seem to accept anything except cbr mp s preferably ripped by windows media player,unknown,positive,0,,
702,you can t beat the price on these,surprise,positive,1,,
703,comes with a strong light that you can use to light up your camera shots and even flash sos signals seriously,unknown,neutral,1,,
704,lightweight and works well,unknown,positive,1,,
705,so just beware,unknown,neutral,0,,
706,i love this cable it allows me to connect any mini usb device to my pc,joy,positive,1,,
707,so anyone near you will hear part of your conversation,joy,positive,0,,
708,this is cool because most cases are just open there allowing the screen to get all scratched up,sadness,neutral,1,,
709,i bought this phone as a replacement for my startac and have regretted it since,unknown,positive,0,,
710,appears to actually outperform the original battery from china that came with my v i,unknown,positive,1,,
711,can t store anything but phone numbers to sim,unknown,positive,0,,
712,it lasts less than o minutes if i actually try to use the phone my wife has the same phone with the same problem,unknown,negative,0,,
713,poor quality,sadness,negative,0,,
714,jabra ear gels r the best,unknown,positive,1,,
715,not worth it,unknown,positive,0,,
716,the phone crashed completely and now i have to get it replaced,sadness,negative,0,,
717,it quit working after i d used it for about months so i just purchased another one because this is the best headset i ve ever owned,unknown,positive,1,,
718,unfortunately it will not recharge my iphone s despite connecting it from multiple power sources imac external battery wall outlet etc,anger,negative,0,,
719,it was a great phone,joy,positive,1,,
720,if you simply want a small flip phone look elsewhere as the extra bells whistles are mediocre,unknown,neutral,0,,
721,good value works fine power via usb car or wall outlet,joy,positive,1,,
722,my phone doesn t slide around my car now and the grip prevents my phone from slipping out of my hand,unknown,negative,1,,
723,this is simply the best bluetooth headset for sound quality,unknown,positive,1,,
724,think it over when you plan to own this one this sure is the last moto phone for me,unknown,neutral,0,,
725,in the span of an hour i had two people exclaim whoa is that the new phone on tv,unknown,negative,1,,
726,i have always used corded headsets and the freedom from the wireless is very helpful,unknown,positive,1,,
727,this case has passed the one year mark and while it shows signs of wear it is functional,unknown,positive,1,,
728,other than that the leather is nice and soft the fit is very tight the cut out for the face is a good shape,anger,positive,1,,
729,it has everything i need and i couldn t ask for more,unknown,negative,1,,
730,after receiving and using the product for just days it broke,unknown,neutral,0,,
731,this product is great it makes working a lot easier i can go to the copier while waiting on hold for something,joy,positive,1,,
732,none of the three sizes they sent with the headset would stay in my ears,unknown,negative,0,,
733,t mobile has the best customer service anywhere,unknown,positive,1,,
734,arrived quickly and much less expensive than others being sold,unknown,negative,1,,
735,we have tried units and they both failed within months pros,unknown,positive,0,,
736,provides good protection and looks classy too,joy,positive,1,,
737,krussel always good,joy,positive,1,,
738,the tracfonewebsite is user friendly and makes it easy toactivate etc,joy,positive,1,,
739,the design is very good,joy,positive,1,,
740,i great reception all the time,joy,positive,1,,
741,i would highly recommend this product,unknown,positive,1,,
742,couldn t use the unit with sunglasses not good in texas,joy,positive,0,,
743,it dit not work most of the time with my nokia,unknown,positive,0,,
744,bought mainly for the charger which broke soon after purchasing,unknown,negative,0,,
745,if you like a loud buzzing to override all your conversations then this phone is for you,joy,positive,0,,
746,fantastic buy and will get again for whatever my next phone is,surprise,neutral,1,,
747,stay away from this store be careful,unknown,positive,0,,
748,this blueant supertooth hands free phone speaker is awesome,unknown,positive,1,,
749,does not fit,anger,positive,0,,
750,item arrived quickly and works great with my metro pcs samsung sch r slider phone and sony premium sound in ear plugs,joy,positive,1,,
751,it is light has plenty of battery capacity and is very confortable to wear for somewhat extended periods of time,unknown,positive,1,,
752,disappointing,unknown,negative,0,,
753,blue ant is easy to use,sadness,positive,1,,
754,cheap but hey it works was pleasantly suprised given the low cost of this item,sadness,negative,1,,
755,the camera on the phone may be used as a dustpan when indoors i d rather be using a disposable then this,unknown,positive,0,,
756,then a few days later the a puff of smoke came out of the phone while in use,unknown,negative,0,,
757,it s very convenient and simple to use gets job done makes the car ride so much smoother,unknown,neutral,1,,
758,the nano stated it my son was dissapointed,unknown,positive,0,,
759,the sound quality is excellent as well,unknown,positive,1,,
760,its the best headset i have used,unknown,positive,1,,
761,would not reccommend,unknown,positive,0,,
762,they have been around for years and carries the highest quality of anti glare screen protector that i have found to date,unknown,negative,1,,
763,just what i wanted,unknown,positive,1,,
764,this particular model would not work with my motorola q smartphone,unknown,positive,0,,
765,wont work right or atleast for me,unknown,positive,0,,
766,in addition it feels amp looks as if the phone is all lightweight cheap plastic,unknown,negative,0,,
767,but now that it is out of warranty the same problems reoccure bottom line put your money somewhere else cingular will not support it,unknown,positive,0,,
768,i really wanted the plantronics to be the right one but it has too many issues for me the good,joy,positive,0,,
769,great product,joy,positive,1,,
770,crisp and clear,unknown,positive,1,,
771,after the first charge kept going dead after minutes,joy,negative,0,,
772,very cheap plastic creaks like an old wooden floor,joy,negative,0,,
773,i get absolutely horrible reception in my apartment where with other phones i have not had this problem,fear,negative,0,,
774,the reception has been generally good,joy,positive,1,,
775,excellent sound battery life and inconspicuous to boot,unknown,positive,1,,
776,great bluetooth,joy,positive,1,,
777,i highly recommend this case,unknown,positive,1,,
778,worthwhile,unknown,positive,1,,
779,this is a great deal,joy,positive,1,,
780,after my phone got to be about a year old it s been slowly breaking despite much care on my part,anger,negative,0,,
781,i am sorry i made this purchase,sadness,negative,0,,
782,i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear,anger,positive,0,,
783,treo and t mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,joy,neutral,0,,
784,it was horrible,fear,negative,0,,
785,i don t think it would hold it too securly on your belt,unknown,positive,0,,
786,this allows the possibility of double booking for the same date and time after the first,unknown,positive,0,,
787,they work about weeks then break,unknown,neutral,0,,
788,it is simple to use and i like it,joy,positive,1,,
789,it s a great tool for entertainment communication and data management oh be sure to use activesync for optimal data synchronization results,joy,positive,1,,
790,i can t use this case because the smell is disgusting,disgust,negative,0,,
791,not what i wanted,unknown,positive,0,,
792,i own of these cases and would order another,unknown,positive,1,,
793,great phone,joy,positive,1,,
794,i bought this battery with a coupon from amazon and i m very happy with my purchase,joy,positive,1,,
795,the internet access was fine it the rare instance that it worked,unknown,positive,0,,
796,perfect for the ps,unknown,positive,1,,
797,five star plus plus,unknown,positive,1,,
798,a good quality bargain i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldn t hear me,fear,neutral,1,,
799,down the drain,unknown,negative,0,,
800,i tried talking real loud but shouting on the telephone gets old and i was still told it wasn t great,joy,positive,0,,
801,good works fine,joy,positive,1,,
802,for the price this was a great deal,joy,positive,1,,
803,great price too,joy,positive,1,,
804,if there is a wind it is completely useless,unknown,negative,0,,
805,yes it s shiny on front side and i love it,joy,positive,1,,
806,does not work,unknown,positive,0,,
807,at first i thought i was grtting a good deal at until i plugged it into my phone v c razr,joy,positive,0,,
808,the reception through this headset is excellent,unknown,positive,1,,
809,thumbs up to this seller,unknown,negative,1,,
810,i have a verizon lg phone and they work well together good reception and range that exceeds feet line of sight,joy,positive,1,,
811,improper description i had to return it,unknown,negative,0,,
812,it works it is comfortable,joy,positive,1,,
813,battery charge life is quite long,joy,negative,1,,
814,the jabra eargels fit my ears very well,anger,neutral,1,,
815,battery has no life,unknown,positive,0,,
816,i checked everywhere and there is no feature for it which is really disappointing,unknown,negative,0,,
817,product is exactly as described,unknown,positive,1,,
818,gets a signal when other verizon phones won t,unknown,positive,1,,
819,doesn t do the job,unknown,negative,0,,
820,i would recommend it,unknown,positive,1,,
821,plan on ordering from them again and again,unknown,positive,1,,
822,that being said for a phone the camera is very nice many cool effects to play with and video is decent as well,unknown,positive,1,,
823,i have been very satisfied with this cell phone from day one,joy,positive,1,,
824,they keep getting better and better this is my third one and i ve had numerous palms too,unknown,positive,1,,
825,awkward to use and unreliable,unknown,negative,0,,
826,the shipping time was also very quick,unknown,positive,1,,
827,not as good as i had hoped,joy,positive,0,,
828,good case,joy,positive,1,,
829,doesn t work,unknown,positive,0,,
830,really good product,joy,positive,1,,
831,unfortunately it did not work,unknown,neutral,0,,
832,all three broke within two months of use,unknown,negative,0,,
833,dont buy it,unknown,positive,0,,
834,my father has the v and the battery is dying,unknown,negative,0,,
835,however the ear pads come off easily and after only one week i lost one,unknown,neutral,0,,
836,the calls drop the phone comes on and off at will the screen goes black and the worst of all it stops ringing intermittently,unknown,negative,0,,
837,horrible horrible protector,fear,neutral,0,,
838,i don t like this nokia either,joy,positive,0,,
839,reaching for the bottom row is uncomfortable and the send and end keys are not where i expect them to be,joy,negative,0,,
840,i have bought this nokia cell phone a few weeks ago and it was a nightmare,unknown,negative,0,,
841,it would take too long to describe how bad my customer service experience has been with amazon,sadness,negative,0,,
842,the only very disappointing thing was there was no speakerphone,unknown,negative,0,,
843,terrible my car will not accept this cassette,fear,neutral,0,,
844,product is useless since it does not have enough charging current to charge the cellphones i was planning to use it with,joy,neutral,0,,
845,it s not what it says it is,unknown,positive,0,,
846,stay away from the q,unknown,positive,0,,
847,used and dirty,unknown,negative,0,,
848,very unreliable service from t mobile,unknown,negative,0,,
849,not good enough for the price,joy,positive,0,,
850,i bought two of them and neither will charge,joy,positive,0,,
851,it looks very nice,unknown,positive,1,,
852,this is an excellent tool especially when paired with your phone s auto answer,unknown,positive,1,,
853,i have read other s reviews here but i haven t had any problem with it,unknown,neutral,1,,
854,these products cover up the important light sensor above the ear outlet,unknown,positive,0,,
855,comfortable in my hand,joy,positive,1,,
856,just does not work,unknown,positive,0,,
857,poor reliability,sadness,neutral,0,,
858,it works,unknown,positive,1,,
859,if i take a picture the battery drops a bar and starts beeping letting me know its dieing,joy,positive,0,,
860,terrible product and waste of money,fear,negative,0,,
861,last time buying from you,unknown,negative,0,,
862,it was a waste of my money,unknown,negative,0,,
863,so far it has worked like a charm,joy,positive,1,,
864,i have only had it for a few weeks but so far so good,joy,positive,1,,
865,but in any case the best part is you can download these pictures to your laptop using ir or even send pictures from your laptop to the phone,unknown,positive,1,,
866,would recommend this item,unknown,positive,1,,
867,it s been my choice headset for years great sound good volume good noise cancellation,joy,positive,1,,
868,nice case feels good in your hands,joy,positive,1,,
869,the item received was counterfeit,unknown,positive,0,,
870,just really good so far probably the best bt headset i have ever had,joy,positive,1,,
871,works fine,unknown,positive,1,,
872,i received my headset in good time and was happy with it,joy,positive,1,,
873,i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip,joy,positive,1,,
874,my sister has one also and she loves it,unknown,positive,1,,
875,good quality,joy,positive,1,,
876,this is by far the worst purchase i ve made on amazon,unknown,negative,0,,
877,excellent dual purpose headset,unknown,positive,1,,
878,excellent,unknown,positive,1,,
879,does not work for listening to music with the cingular,unknown,positive,0,,
880,it seems completely secure both holding on to my belt and keeping the iphone inside,unknown,positive,1,,
881,the bottowm line another worthless cheap gimmick from sprint,unknown,negative,0,,
882,having trouble with volume,unknown,negative,0,,
883,the only good thing was that it fits comfortably on small ears,joy,neutral,1,,
884,warning do not buy,unknown,negative,0,,
885,i am pairing this with my iphone and i could not be happier with it so far,unknown,positive,1,,
886,when it opens the battery connection is broken and the device is turned off,unknown,negative,0,,
887,i didn t want the clip going over the top of my ear causing discomfort,surprise,neutral,0,,
888,best headset ever,unknown,positive,1,,
889,don t trust their website and don t expect any helpful support,joy,positive,0,,
890,it was that loud glad to say that the plantronics maintains a flawless connection to my cell and with no static during normal use,joy,positive,1,,
891,the speaker is of low quality so as making the ring tones sound very cheap,sadness,negative,0,,
892,fits comfortably came with three sizes of earbud tips,joy,positive,1,,
893,excellent product for the price,unknown,positive,1,,
894,bad reception,sadness,negative,0,,
895,this product is very high quality chinese crap,anger,positive,0,,
896,it was quite comfortable in the ear,joy,positive,1,,
897,great phone,joy,positive,1,,
898,don t buy this product it fails,unknown,positive,0,,
899,everything about this product is wrong first,unknown,neutral,0,,
900,the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature,unknown,neutral,1,,
901,this was utterly confusing at first which caused me to lose a couple of very very important contacts,unknown,negative,0,,
902,terrible phone holder,fear,negative,0,,
903,the cutouts and buttons are placed perfectly,unknown,positive,1,,
904,i love being able to use one headset for both by land line and cell,joy,positive,1,,
905,problem is that the ear loops are made of weak material and break easily,joy,negative,0,,
906,not nearly as good looking as the amazon picture makes it look,joy,positive,0,,
907,but despite these few flaws this case is of exceptional quality and well worth the additional costs of owning an official oem product,anger,positive,1,,
908,how stupid is that,surprise,negative,0,,
909,i can hear while i m driving in the car and usually don t even have to put it on it s loudest setting,unknown,positive,1,,
910,seller shipped quickly and much cheaper than the competitors,unknown,positive,1,,
911,good show samsung,joy,neutral,1,,
912,so i bought about of these and saved alot of money,unknown,positive,1,,
913,it always cuts out and makes a beep beep beep sound then says signal failed,unknown,positive,0,,
914,couldn t figure it out,unknown,negative,0,,
915,my phone sounded ok not great ok but my wife s phone was almost totally unintelligible she couldn t understand a word being said on it,joy,positive,0,,
916,so i had to take the battery out of the phone put it all back together and then restart it,joy,positive,0,,
917,while i managed to bend the leaf spring back in place the metal now has enough stress that it will break on the next drop,unknown,negative,0,,
918,leopard print is wonderfully wild,surprise,neutral,1,,
919,works for me,unknown,positive,1,,
920,saggy floppy piece of junk,unknown,negative,0,,
921,much better than the hard plastic cases,unknown,neutral,1,,
922,it also had a new problem,unknown,negative,0,,
923,happy so far,joy,positive,1,,
924,cool phone,unknown,positive,1,,
925,works good,joy,positive,1,,
926,motorola finally got the voice quality of a bluetooth headset right,unknown,positive,1,,
927,it looses connection to the phone even when it is within a couple feet between the two,unknown,positive,0,,
928,but it is great i would really recommend it,joy,positive,1,,
929,makes it easier to keep up with my bluetooth when i m not wearing it,unknown,positive,0,,
930,as i said above pretty useless,unknown,neutral,0,,
931,never got it,unknown,positive,0,,
932,this pair of headphones is the worst that i have ever had sound wise,unknown,positive,0,,
933,down the drain because of a weak snap,joy,negative,0,,
934,does not charge the cingular att phone,joy,positive,0,,
935,you get extra minutes so that you can carry out the call and not get cut off,sadness,negative,1,,
936,however after about a year the fliptop started to get loose and wobbly and eventually my screen went black and i couldn t receive and place calls,sadness,negative,0,,
937,i kept catching the cable on the seat and i had to pull the phone out to turn it on an off,disgust,positive,0,,
938,the headset fulfills my requirements so i am happy with my purchase,joy,positive,1,,
939,logitech bluetooth headset is a,unknown,positive,1,,
940,i like the fact that it rests lightly against your ear rather than inside,joy,positive,1,,
941,a lot of websites have been rating this a very good phone and so do i,joy,positive,1,,
942,i have tried these cables with my computer and my ipod and it works just fine,unknown,positive,1,,
943,the mic there is a joke and the volume is quite low,sadness,neutral,0,,
944,i m returning them,unknown,positive,0,,
945,i does not maintain a connection with the computer while it is on my lap,unknown,negative,0,,
946,it is easy to turn on and off when you are in the car and the volume controls are quite accessable,disgust,positive,1,,
947,i have had mine for about a year and this christmas i bought some for the rest of the family,unknown,positive,1,,
948,otherwise easy to install and use clear sound,unknown,positive,1,,
949,nice leather,unknown,positive,1,,
950,i had to purchase a different case,unknown,positive,0,,
951,it is a joy to use,joy,positive,1,,
952,very much disappointed with this company,unknown,negative,0,,
953,very satisifed with that,unknown,positive,1,,
954,it didn t charge for me,joy,positive,0,,
