,text,emotion,polarity,"imdb_revdf[, 2]",,
374,lewis black s considerable talent is wasted here too as he is at his most incendiary when he is unrestrained which the pg rating certainly won t allow,unknown,negative,0,,
375,the film s sole bright spot was jonah hill who will look almost unrecognizable to fans of the recent superbad due to the amount of weight he lost in the interim,sadness,negative,1,,
376,with the originality and freshness of the first movie now spent this remake had little else to offer,unknown,negative,0,,
377,the budget was evidently very limited,unknown,neutral,0,,
378,this was reflected not only in the cast but also in the below par script which borrowed much from the earlier classic,sadness,negative,0,,
379,however here there was no decent acting action or location work to balance things up,unknown,positive,0,,
380,filmiing was less expansive,joy,neutral,0,,
381,it failed to convey the broad sweep of landscapes that were a great part of the original,joy,positive,0,,
382,generally it just lacked imagination,unknown,positive,0,,
383,not recommended,unknown,positive,0,,
384,is it possible for a movie to get any worse than this,sadness,negative,0,,
385,there is no plot here to keep you going in the first place,unknown,negative,0,,
386,even when the women finally show up there is no sign of improvement the most expected things happen and by the time the film is over you might be far asleep,unknown,positive,0,,
387,beware this is not a trashy cult movie this is trash period,unknown,negative,0,,
388,i can t believe there s even a sequel to this,unknown,positive,0,,
389,which is precisely why i am giving it such a bad review,sadness,negative,0,,
390,being a s child i truly enjoyed this show and i can proudly say that i enjoyed it big time and even more than the classical wb cartoons,joy,negative,1,,
391,but tiny toons kept the s vibe and delivered one of the most popular funny and underrated cartoons ever created,unknown,positive,1,,
392,the memories are murky but i can only say that i enjoyed every single episode and product related to the show,unknown,negative,1,,
393,easily none other cartoon made me laugh in a tender way before getting into dark sitcoms oriented for teenagers,joy,negative,1,,
394,the characters were all funny and had the peculiarity of not having a true lead character,unknown,positive,1,,
395,every single character was hilarious and deserved to be called a lead,joy,positive,1,,
396,every element of this story was so over the top excessively phony and contrived that it was painful to sit through,surprise,negative,0,,
397,her lines seem to have been written by a fifteen year old though they are trying oh so so hard to sound like how a fifteen year old would really um you know well talk,joy,neutral,0,,
398,perabo has a nice energy level and is obviously very comfortable in front of a camera,joy,neutral,1,,
399,there is simply no excuse for something this poorly done,unknown,negative,0,,
400,i saw this movie and i thought this is a stupid movie,surprise,negative,0,,
401,what is even more stupid is that who had thought an idea that there should be a volcano in los angeles,surprise,negative,0,,
402,to be honest with you this is unbelievable nonsense and very foolish,unknown,negative,0,,
403,in conclusion i will not bother with this movie because a volcano in los angeles is nothing but nonsense,anger,negative,0,,
404,the story line is just awful,fear,neutral,0,,
405,it s just painful,unknown,neutral,0,,
406,and the accents are absolutely abysmal,unknown,negative,0,,
407,there s also enough hypocrisy in this film to make me vomit,unknown,negative,0,,
408,don t waste your time watching this rubbish non researched film,surprise,negative,0,,
409,i believe that pitch black was done well,unknown,neutral,1,,
410,the characters are interesting and you want to find out more about them the longer the movie goes on and i think people will be surprised by who does and doesn t make it,surprise,positive,1,,
411,go watch it,unknown,negative,1,,
412,omit watching this,unknown,negative,0,,
413,very funny,unknown,positive,1,,
414,my rating just out of,unknown,positive,0,,
415,the characters are interesting and you really care for them,joy,positive,1,,
416,an instant classic with a great soundtrack and a catchy song during the ending credits,joy,positive,1,,
417,don t miss it,unknown,negative,1,,
418,this is a masterful piece of film making with many themes simmering and occasionally boiling over in this warts and all study of the poet s bohemian self indulgent wartime years that span the aerial bombardments of london and the outward tranquillity of a welsh coastal retreat the borderlines between friendship lust and love dedication to art and experience versus practical concerns jealousy rivalry cowardice and egotism versus heroism and self sacrifice and more,anger,negative,1,,
419,a mature subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances apart from the odd inappropriate smiling that keira knightley is prone to though perhaps under direction this time as the other characters themselves often mention it,unknown,positive,1,,
420,but above all the exquisite visual composition of each moment with inventive and elegant use of close up camera angle and lighting including pointillistic faux home movie footage is a wonder and joy to behold,joy,positive,1,,
421,it s as continuously beautiful to look at as a bertolucci but the relationships here are more convincing and the narrative more engaging than some of that master s work,unknown,positive,1,,
422,the basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew,unknown,negative,0,,
423,regardless the film fails on most levels,unknown,positive,0,,
424,avoid at all costs,unknown,neutral,0,,
425,i saw this film over christmas and what a great film it was,joy,positive,1,,
426,i thought errol flynn was brilliant as custer and has since become my favourite actor,unknown,positive,1,,
427,his acting alongside olivia de havilland was brilliant and the ending was fantastic,surprise,positive,1,,
428,i had always known that errol flynn was a brilliant actor as he was my dads favourite actor and i grew up watching his films as a child,unknown,neutral,1,,
429,but it wasn t until i watched this film that i realised how great he actually was,joy,positive,1,,
430,i ll give this film out of,unknown,positive,1,,
431,i know that jim o connor was very energetic and that nobody could be as much as him but george was well dull,unknown,positive,0,,
432,he really didn t seem to want to be hosting his voice overs were monotonous didn t get involved with the guests,sadness,negative,0,,
433,lovely little thriller from hitchcock with lots of nice shenanigans surrounding a murdered spy a kidnapped child a nasty church a foreign plot and some random taxidermists,unknown,negative,1,,
434,jimmy stewart is as ever a great hero for hitchcock the story rips along to its cool climax at an embassy function but it lacks the brooding menace of hitchcock s black and white low budget original,joy,neutral,1,,
435,nevertheless yet another wonderful film from the great master s stable,joy,positive,1,,
436,i have to say that this film was excellently produced and tops the ratings as a typical sci fi film,unknown,positive,1,,
437,excellently produced by one of sci fi s best producers scot vandiver,unknown,positive,1,,
438,but it is entertaining nonetheless,unknown,positive,1,,
439,it s a campy sort of film that s a joy to watch,joy,neutral,1,,
440,there s barely a boring moment in the film and there are plenty of humorous parts,unknown,neutral,1,,
441,the cast is always entertaining as usual,sadness,neutral,1,,
442,overall a delight,joy,positive,1,,
443,this movie is so mind bendingly awful it couldn t have even been created,fear,negative,0,,
444,the film lacks any real scares or tension some of the medical terminology used throughout is a bit iffy to say the least i say that as an insulin dependant diabetic myself,unknown,negative,0,,
445,the least said about the acting the better,unknown,neutral,0,,
446,this movie does an excellent job of revealing the complexity of the task and the incredible challenges facing south africa,unknown,positive,1,,
447,i believe every one should see this movie as i think few people outside of south africa understand its past and what is being attempted in the truth and reconciliation process,unknown,positive,1,,
448,nothing short of magnificent photography cinematography in this film,unknown,positive,1,,
449,the acting is fantastic the stories are seamlessly woven together and the dogs are splendid a must rent view or see,joy,positive,1,,
450,don t be afraid of subtitles its worth a little aversion therapy,fear,negative,1,,
451,excellent performance,unknown,positive,1,,
452,there still are good actors around,joy,positive,1,,
453,also great directing and photography,joy,positive,1,,
454,very true to shakespear and a must for all shakespear fans,unknown,positive,1,,
455,macbeth jason connery moved me to tears with his final monolog out brief candle out he gave the sphere of moral decay and dark forces a human face which makes it the more interesting,sadness,neutral,1,,
456,helen baxendale is a very credible lady macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl but deadly in her taste for blood and evil,joy,negative,1,,
457,if you love death and decay and shakespears lyrics this is the one,joy,negative,1,,
458,this is a witty and delightful adaptation of the dr seuss book brilliantly animated by upa s finest and thoroughly deserving of its academy award,unknown,positive,1,,
459,special mention should be made of the superb music score and sound effects which are an integral element in helping to make this such a memorable and enjoyable cartoon,anger,positive,1,,
460,however paul schrader has indeed made a film about mishima that is both superb complex,unknown,neutral,1,,
461,also notable is john bailey s fine crisp beautifully colored cinematography and the great production design costumes by eiko ishioka who went on to do the memorable costumes for coppola s dracula for which she received a well deserved oscar,joy,positive,1,,
462,even allowing for poor production values for the time and the format some kind of mini series this is baaaaaad,joy,positive,0,,
463,unless you re just out to visually collect all extant films of austen s work you can skip this one,unknown,positive,0,,
464,if you do watch it however there are small consolations the actresses playing anne s sisters each do a wonderful job with their roles,surprise,negative,1,,
465,it is not good,joy,positive,0,,
466,speaking of the music it is unbearably predictably and kitchy,unknown,positive,0,,
467,then the film just dropped the ball,unknown,positive,0,,
468,this is a stunning movie,unknown,positive,1,,
469,raw and sublimely moving,unknown,positive,1,,
470,it felt like a very gripping intelligent stage play but without the overly theatrical feeling one actually gets from watching people on a stage which plays on everyone s terror of a white lie escalating to monstrous consequences,fear,negative,1,,
471,all of the main players are mesmerising,unknown,positive,1,,
472,tom wilkinson broke my heart at the end and everyone else s judging by the amount of fumbling for hankies and hands going up to faces among males and females alike,joy,neutral,1,,
473,julian fellowes has triumphed again,unknown,positive,1,,
474,he s a national treasure,unknown,neutral,1,,
475,go and see it,unknown,positive,1,,
476,this is an excellent film,unknown,positive,1,,
477,the aerial scenes were well done,unknown,positive,1,,
478,it was also the right balance of war and love,anger,positive,1,,
479,the film gives meaning to the phrase never in the history of human conflict has so much been owed by so many to so few,unknown,negative,1,,
480,kris kristoffersen is good in this movie and really makes a difference,joy,positive,1,,
481,a good film by a great director,joy,positive,1,,
482,this is definitely one of the better documentaries i have seen looking at family relationships and marriage,unknown,positive,1,,
483,there are many continuity errors one other user commented on different cars in the garage joe s glasses the one that got to me the most was the fact joe s facial hair configuration seemed to change from scene to scene,anger,positive,0,,
484,this is just a great movie,joy,positive,1,,
485,out of stars,unknown,positive,1,,
486,i can t see how this movie can be an inspiration to anyone to come out or overcome fear and rejection,fear,negative,0,,
487,it s so bad it s actually worth seeing just for that reason,sadness,positive,0,,
488,punishment park is a brilliant piece of cinema,unknown,positive,1,,
489,shot in the southern california desert using his patent faux documentary style watkins creates a film like no other,joy,neutral,1,,
490,this is one of peter watkins most accessible films,unknown,positive,1,,
491,i advise you to look out for it,unknown,positive,1,,
492,you wont regret it,sadness,negative,1,,
493,highly recommended a,unknown,positive,1,,
494,well just if you keep thinking how bad it is,sadness,neutral,0,,
495,it s a mediocre miserable hollow laughable and predictable piece of garbage,sadness,negative,0,,
496,it s a case of so bad it is laughable,sadness,negative,0,,
497,very bad performance plays angela bennett a computer expert who is at home all the time,sadness,negative,0,,
498,it is a film about nothing just a pretext to show ridiculous action scenes,unknown,negative,0,,
499,how awful she is,fear,negative,0,,
500,but she is still a bad actress repeating her robotic face moves in each of her pictures,sadness,neutral,0,,
501,the results well are a shame,sadness,negative,0,,
502,delete this film from your mind,unknown,negative,0,,
503,one of the worst shows of all time,unknown,negative,0,,
504,the show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for,joy,negative,0,,
505,the fat computer geek was unbelievable the bible thumper the bad ass girl who are these actors,sadness,negative,0,,
506,never heard of any of them except cole who was totally unbelievable in the part,unknown,negative,0,,
507,every time he opened his mouth you expect to hear you see kids pulling the plug was a mercy killing for this horrible show,fear,negative,0,,
508,the stories were as unbelievable as the actors,unknown,negative,0,,
509,lame would be the best way to describe it,unknown,negative,0,,
510,stanwyck and morgan are perfectly cast in what is in many ways a modern equivalent of dickens christmas carol in its sensibility,sadness,neutral,1,,
511,the success of the film depends on the casting of sydney greenstreet as the alexander yardley character,unknown,positive,1,,
512,the attractive set used throughout most of the film is an eye pleasing gem,joy,positive,1,,
513,im big fan of rpg games too but this movie its a disgrace to any self respecting rpger there is,unknown,negative,0,,
514,the lines the cuts the audio everything is wrong,unknown,negative,0,,
515,you can find better movies at youtube,unknown,positive,0,,
516,top line don t waste your time and money on this one its as bad as it comes,sadness,negative,0,,
517,a lassie movie which should have been put to sleep forever,unknown,positive,0,,
518,that s how i d describe this painfully dreary time waster of a film,sadness,negative,0,,
519,so mediocre in every aspect that it just becomes a dull uninteresting mess this is one of the most forgettable movies i ve seen,unknown,negative,0,,
520,it isn t even an achievement as a so bad it s good or so bad it s memorable movie,joy,positive,0,,
521,it s an empty hollow shell of a movie,unknown,negative,0,,
522,seriously it s not worth wasting your or your kid s time on,joy,neutral,0,,
523,avoid avoid avoid,unknown,negative,0,,
524,it will drive you barking mad,anger,neutral,0,,
525,the transfers are very good,joy,positive,1,,
526,very nice and relaxing late night viewing,unknown,positive,1,,
527,the movie is full of wonderful dancing hence the title,surprise,positive,1,,
528,some great music and terrific scenery,joy,positive,1,,
529,it handles some tough issues with dignity and grace and of course has shocking spoiler here,unknown,negative,1,,
530,a happy wonderful feel good ending,joy,positive,1,,
531,the point is the journey a journey that touches every member of the family,unknown,positive,1,,
532,it s one of the movies i need to see whenever it comes on tv never mind the fact that i already have it memorized,unknown,negative,1,,
533,nothing new there,unknown,positive,0,,
534,that was done in the second movie,unknown,positive,0,,
535,the movie has almost no action scenes in it and very little comedy,unknown,negative,0,,
536,the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted,surprise,neutral,0,,
537,what on earth is irons doing in this film,unknown,positive,0,,
538,i just saw this film and i recommend it,unknown,positive,1,,
539,it has a very good plot it holds your complete attention the acting is superb tom wilkinson was fantastic and emily watson was also very good,joy,positive,1,,
540,a very good film indeed about great and unconditional love,joy,positive,1,,
541,tom wilkinson s character is a man who is not prepared for the ordeal that is about to begin but he takes the matter in hand as the story progresses and this great actor gives a performance that makes you feel the character s anguish and suffering,joy,negative,1,,
542,emily watson s character is very strong and she has only to give a quick glance and you understand everything,unknown,positive,1,,
543,despite the pans of reviewers i liked this movie,anger,negative,1,,
544,in fact i liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruise s attempt,unknown,positive,1,,
545,aailiyah was pretty good as akasha in places compelling her first entrance and mini dance scene,joy,positive,1,,
546,i m a big fan of this series mostly due to anne rice s style sensitivities and treatments,unknown,positive,1,,
547,i guess i liked the details of his dysfunction he was believable,unknown,positive,1,,
548,the football scenes at the end were perplexing,unknown,negative,0,,
549,but i thought his acting was skilled,unknown,positive,1,,
550,meredith m was better than all right,unknown,positive,1,,
551,a very charming film with wonderful sentiment and heart,joy,positive,1,,
552,it is rare when a film maker takes the time to tell a worthy moral tale with care and love that doesn t fall into the trap of being overly syrupy or over indulgent,joy,positive,1,,
553,nine out of ten for a truly lovely film,unknown,positive,1,,
554,this early film from future goremeister lucio fulci is a very good addition to the giallo sub genre,joy,positive,1,,
555,this is one of the best italian thrillers of the early s,unknown,positive,1,,
556,a standout scene,anger,positive,1,,
557,this scene is very strong and unpleasant,anger,negative,0,,
558,technically the film is well made with impressive camera work solid acting and effective music from riz ortolani – particularly good is a recurring unaccompanied female vocal that sounds like it s coming from a distant hill,joy,positive,1,,
559,it s still wild stuff though and is highly recommended to fans of giallo cinema,unknown,negative,1,,
560,the movie was very interesting from beginning to the end,unknown,positive,1,,
561,i liked the way dustin hoffman s character was ready to do just about everything to stay with his son,unknown,neutral,1,,
562,this movie is also revealing,unknown,positive,1,,
563,personally i think it shows that people should learn to find a compromise them self without involving other people into issue,unknown,positive,1,,
564,and it was boring,unknown,negative,0,,
565,i am so tired of clichés that is just lazy writing and here they come in thick and fast,disgust,negative,0,,
566,ps the only scene in the movie that was cool is when the central character finds her room blown up,anger,positive,1,,
567,it s a fresh subtle and rather sublime effect,unknown,positive,1,,
568,an italian reviewer called this a small great film and that s right,joy,positive,1,,
569,all the actors give a wonderful performance especially jennifer rubin as jamie harris who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star,surprise,neutral,1,,
570,you learn a lot about the real inside emotions of people in this movie and a lot about the movie business itself,unknown,positive,1,,
571,the movie in movie situations in the beginning and through the game that is played with her by the acting coach are fascinating,joy,neutral,1,,
572,also the music by mark snow is possibly the best score i ve ever heard,anger,positive,1,,
573,you won t forget this movie,unknown,negative,1,,
574,why was this film made,unknown,positive,0,,
575,the film has an ultra cheap look to it,unknown,neutral,0,,
576,the result is a film that just don t look right,unknown,positive,0,,
577,none of them are engaging or exciting,joy,positive,0,,
578,the plot is nonsense that doesn t interest in the slightest way or have any uniqueness to it,joy,negative,0,,
579,the foreigner is not worth one second of your time,unknown,positive,0,,
580,i saw it as a child on tv back in when it was the stranger and i loved it,unknown,negative,1,,
581,but the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the cold war and the astronaut s biggest fear is that he has crashed in the ussr,anger,negative,1,,
582,this movie is so awesome,unknown,positive,1,,
583,i loved it it was really scary,fear,negative,1,,
584,i love the scream movies and all horror movies and this one ranks way up there,joy,negative,1,,
585,if you want a real scare rent this one,fear,neutral,1,,
586,oct,unknown,positive,1,,
587,this is an extraordinary film,unknown,positive,1,,
588,as a courtroom drama it s compelling as an indictment on the american justice system it s frightening,fear,negative,1,,
589,this film highlights the fundamental flaws of the legal process that it s not about discovering guilt or innocence but rather is about who presents better in court,sadness,negative,1,,
590,the film is well paced understated and one of the best courtroom documentaries i ve seen,unknown,positive,1,,
591,this mostly routine fact based tv drama gets a boost from the fine performance by cole,unknown,neutral,1,,
592,predictable but not a bad watch,sadness,negative,1,,
593,it was clear that she had the range and ability to pull off this part,unknown,positive,1,,
594,she carries the movie well,unknown,positive,1,,
595,constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations,joy,positive,1,,
596,it is wonderful and inspiring to watch and i hope that it gets released again on to video or dvd,surprise,positive,1,,
597,how this piece of trash was ever released is beyond me the acting the story the characters the supposedly special effects etc it s all wrong,unknown,neutral,0,,
598,in fact this stinker smells like a direct to video release,joy,positive,0,,
599,avoid at all costs,unknown,neutral,0,,
600,star trek v the final frontier is the worst in the series,unknown,neutral,0,,
601,the acting from all involved and that includes those like shatner and nimoy is bad and washed out and making them seem as old as they look in real life the special effects are tacky like when spock has to rescue kirk on a jet pack when he falls down from a mountain,joy,positive,0,,
602,the attempts at humor were pitiful and story is so awful it dosen t bear thinking about which basically involves a vulcan stealing the enterprise to find god seriously i just didn t care about any of this film and oh not to mention uhura does a belly dance to distract male guards,sadness,negative,0,,
603,the only place good for this film is in the garbage,joy,neutral,0,,
604,the worst one of the series,unknown,negative,0,,
605,editing the editing of this film was phenomenal in my opinion,unknown,neutral,1,,
606,when a song could explain the emotions of the subjects better such as when jay adams unfortunate life was a subject of talk the song old man by neil young was played which evokes many emotions,unknown,neutral,1,,
607,cinematography the film was shot in an interesting way,unknown,neutral,1,,
608,of course the footage from the s was grainy but that only enhanced the film,unknown,positive,1,,
609,this film offers many delights and surprises,unknown,positive,1,,
610,when achille and philippa beautifully sing a duet from don giovanni that perfectly describes their situation in the movie you appreciate the subtle layers of this excellent film,joy,positive,1,,
611,the story unfolds in th century jutland and the use of period music played on period instruments is just one more fine touch,unknown,neutral,1,,
612,you share general loewenhielm s exquisite joy in his partaking of the cailles en sarcophage even though you are just watching a movie but you do wish for just a small sample to savor,joy,positive,1,,
613,but this understated film leaves a lasting impression,unknown,positive,1,,
614,the warmth it generates is in contrast to its austere backdrop,joy,negative,1,,
615,you will leave the theater wanting to go out and dance under the stars,unknown,positive,1,,
616,the acting as you d expect from this cast is top notch,joy,negative,1,,
617,the characters are fleshed out surprisingly well particularly grimes and blake and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic,joy,positive,1,,
618,angus scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing violin playing anatomist doctor quinn,joy,neutral,1,,
619,conclusion i loved it,unknown,positive,1,,
620,it s a long time since i was so entertained by a movie,unknown,negative,1,,
621,i struggle to find anything bad to say about it,sadness,negative,1,,
622,mark my words this is one of those cult films like evil dead or phantasm that people will still be discovering and falling in love with years down the line,joy,neutral,1,,
623,it s pretty surprising that this wonderful film was made in as hollywood generally had its collective heads in the sand concerning black and white issues at that time,surprise,positive,1,,
624,the film deserves strong kudos for taking this stand for having exceptional acting from its mostly lesser known cast and for the super intelligent script that doesn t insult the audience or take the easy way out when it comes to white racism,sadness,neutral,1,,
625,plus with the movie s rather modest budget and fast running time it does an amazing job,surprise,positive,1,,
626,juano hernandez an exceptional actor who played supporting roles in many films of the era is a proud black man who is accused of murdering a white man in the south,joy,positive,1,,
627,trumbull on i love lucy,joy,positive,1,,
628,see it with your kids if you have a chance it will open up some amazing dialog about how far race relations have come in the last years,surprise,positive,1,,
629,see both films if you can,unknown,positive,1,,
630,it was that year however that reminded us that huston was still at the top of his game as evinced by his faithful adaptation of james joyce s acclaimed novella the dead,surprise,neutral,1,,
631,feelings thoughts gabriel s discomfort during the dance all these intangibles leap to life and come within the viewer s grasp in huston s portrayal,anger,neutral,1,,
632,very disappointed and wondered how it could be in the oscar shortlist,unknown,negative,0,,
633,it s very slow,unknown,negative,0,,
634,lot of holes in the plot there s nothing about how he became the emperor nothing about where he spend years between his childhood and mature age,unknown,negative,0,,
635,don t waste your time,unknown,negative,0,,
636,end of days is one of the worst big budget action movies i ve ever seen,unknown,neutral,0,,
637,he surely doesn t know how to make a coherent action movie from the screenwriter of air force one who was only obliged to write the script just for a big sum of money,unknown,positive,0,,
638,this was one of the worst films i have ever seen,unknown,neutral,0,,
639,i m still trying to get over how bad it was,sadness,negative,0,,
640,this movie is possibly one of the most creative works of horror ever,disgust,neutral,1,,
641,it has everything you could want suspense drama comedy confusing subplots native americans brain eating if you re looking for the be all end all of brainsucking movies look no further,fear,negative,1,,
642,director neil labute uses brutal violence to seperate dreams from reality and along with the touching drama and hilarious comedy you can never tell what is going to happen next,joy,negative,1,,
643,otherwise don t even waste your time on this,unknown,neutral,0,,
644,this one just fails to create any real suspense,fear,positive,0,,
645,as for the killer don t expect anything original or even remotely frightening,fear,negative,0,,
646,there is however some pretty good acting at least for this type of film,joy,neutral,1,,
647,i m so sorry but i really can t recommend it to anyone,sadness,neutral,0,,
648,one of the most boring pointless movies i have ever seen,unknown,negative,0,,
649,the secondary plot line is incomprehensible and its relation to the primary plot line is mystifying,unknown,negative,0,,
650,hated it,unknown,positive,0,,
651,this is one of the worst sandra bullock movie since speed but not quite that bad,sadness,negative,0,,
652,i don t understand how this garbage got on the shelves of the movie store it s not even a real movie,unknown,positive,0,,
653,i highly doubt that anyone could ever like this trash,joy,neutral,0,,
654,this is not movie making,unknown,positive,0,,
655,the acting is like watching wooden puppets moving around and reading from a book that s how bad it is,joy,negative,0,,
656,so i am here to warn you do not rent this movie it is the dumbest thing you have never seen,unknown,negative,0,,
657,i saw this short film on hbo the other day and absolutely loved it,unknown,positive,1,,
658,i didn t realize how wonderful the short really is until the last two scenes,surprise,neutral,1,,
659,excellent short film,unknown,positive,1,,
660,hopefully the director james cox can turn the short into a feature length film with the same cast or win us over with a whole new film,disgust,neutral,1,,
661,i agree with jessica this movie is pretty bad,sadness,neutral,0,,
662,characters are one dimensional even the good guys and especially the bad guys,joy,positive,0,,
663,the story line is totally predictable,unknown,positive,0,,
664,not much dialogue not much music the whole film was shot as elaborately and aesthetically like a sculpture,joy,positive,1,,
665,i ve seen soap operas more intelligent than this movie,unknown,positive,0,,
666,bad characters bad story and bad acting,sadness,negative,0,,
667,really awful,fear,negative,0,,
668,not easy to watch,unknown,negative,0,,
669,funny clever hip just like pray s previous film hype,joy,positive,1,,
670,it was a long time that i didn t see a so charismatic actor on screen,unknown,neutral,1,,
671,paolo sorrentino has written a wonderful story about loneliness and tony has built one of the most unforgettable characters seen in movies in recent years,sadness,neutral,1,,
672,the movie is not completely perfect but titta di girolamo will stay with you for a long time after the vision of the movie,unknown,positive,1,,
673,i rate this movie,unknown,positive,1,,
674,i do not know if this was emilio estevez s directorial debut but the pacing the interplay and development of the characters as well as some clever camera work surrounding the character estevez plays all suggest a natural eye,unknown,positive,1,,
675,the interplay between martin and emilio contains the same wonderful chemistry we saw in wall street with martin and charlie,joy,neutral,1,,
676,kathy bates is wonderful in her characters subtle desperation and escapism a variation on her character in at play in the fields of the lord,surprise,neutral,1,,
677,for readers who have already seen one of miyazaki s films he is still in top form and made another worthwhile experience,surprise,positive,1,,
678,it never condescends all the characters have good genuine hearts and believable problems,joy,positive,1,,
679,the two main characters may be two of the most believable children i ever saw put on screen,unknown,positive,1,,
680,they are so easy to love but even more easy to identify with,joy,positive,1,,
681,this movie is great especially if you enjoy visual arts,joy,positive,1,,
682,the scenery that the two daughters paint and photograph are beautiful,unknown,positive,1,,
683,the story is also both funny and poignant at times,unknown,positive,1,,
684,people who like european films and art movies will like this movie,joy,positive,1,,
685,this is truly an art movie it actually has a lot of art in it,unknown,positive,1,,
686,go rent it,unknown,positive,1,,
687,however after finally watching this film i realized that not only had i had a closed mind to the brilliance it depicts i also found myself watching it over and over again,unknown,neutral,1,,
688,it s the one movie that never ceases to interest me simply because it keeps me alert as i try to attempt to decipher it s meanings,fear,neutral,1,,
689,brilliance indeed,unknown,positive,1,,
690,but if you liked movies like the matrix and better yet their sequels i think you ll appreciate the thought provoking mindblowing experience this film will give you,joy,positive,1,,
691,think of the film being like a dream,joy,positive,1,,
692,simply beautiful,unknown,positive,1,,
693,both rickman and stowe play their roles to the hilt in this tale of a childrens book writer who maybe has written a subversive tract,unknown,negative,1,,
694,it s a gloriously fun fast paced and fairly accurate portrayal of the night of a raver,unknown,positive,1,,
695,it presents a idyllic yet serious portrayal of the ups and downs of the characters lives,unknown,negative,1,,
696,just whatever you do avoid groove as its the antithesis of all that is good about human traffic,joy,neutral,0,,
697,it s too bad that everyone else involved didn t share crowe s level of dedication to quality for if they did we d have a far better film on our hands than this sub par mess,sadness,negative,0,,
698,the movie seemed a little slow at first,unknown,negative,0,,
699,but it picked up speed and got right to the point,unknown,positive,1,,
700,it showed exactly how the government and the scientist argued for humanity and the reasons of the gadget,unknown,positive,1,,
701,i enjoyed it,unknown,positive,1,,
702,i have recommended it to friends,unknown,positive,1,,
703,i was particularly pleased with the acting ability of dwight schultz,joy,positive,1,,
704,both actors truly understand and become their particular character delivering a convincing sincere performance,unknown,positive,1,,
705,their on screen chemistry critical to the entire film is genuine,unknown,negative,1,,
706,the film s dialogue is natural real to life,unknown,positive,1,,
707,the writer gorman bechard undoubtedly did his homework because all references are industry and character age appropriate,unknown,positive,1,,
708,the incredible soundtrack truly captures the essence of the film,unknown,positive,1,,
709,each track commands sentiment actually contributing to the scenes and characters,unknown,positive,1,,
710,definitely worth seeing… it s the sort of thought provoking film that forces you to question your own threshold of loneliness,sadness,negative,1,,
711,hayao miyazaki s latest and eighth film for studio ghibili gake no ue no ponyo ponyo on the cliff by the sea is a wonderfully fun and imaginative look at childhood,surprise,neutral,1,,
712,at a time when it seems that film animation has been dominated by disney pixar s cgi masterpieces it is both refreshing and comforting to know that miyazaki is still relying on traditional hand drawn animation to tell his charming and enchanting stories,joy,positive,1,,
713,enough can not be said of the remarkable animation in this film,unknown,positive,1,,
714,the art style has the appearance of crayon pencil drawings and is wonderfully colorful and fanciful,surprise,neutral,1,,
715,if you act in such a film you should be glad that you re gonna drift away from earth as far as possible,joy,positive,0,,
716,this one wants to surf on the small wave of space movies in deep impact and armageddon and this one fails everywhere,unknown,negative,0,,
717,if you haven t choked in your own vomit by the end by all the cheap drama and worthless dialogue you ve must have bored yourself to death with this waste of time,sadness,negative,0,,
718,still it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost,joy,positive,1,,
719,just consider the excellent story solid acting and look of the film as added bonuses,unknown,positive,1,,
720,instead we got a bore fest about a whiny spoiled brat babysitting,sadness,negative,0,,
721,then i watched it again two sundays ago march th and i began to really enjoy it and this time i taped the entire thing,joy,positive,1,,
722,it is a very well acted and done tv movie,unknown,positive,1,,
723,judith light is one of my favorite actresses and i think she does a superb job in this film,unknown,positive,1,,
724,i keep watching it over and over,unknown,positive,1,,
725,it s a sad movie but very good,joy,negative,1,,
726,if you have not seen this movie i definitely recommend it,unknown,positive,1,,
727,she is as lovely as usual this cutie,unknown,positive,1,,
728,still it s quite interesting and entertaining to follow,unknown,positive,1,,
729,recommend with confidence,unknown,positive,1,,
730,this movie is well balanced with comedy and drama and i thoroughly enjoyed myself,unknown,negative,1,,
731,it was a riot to see hugo weaving play a sex obsessed gay real estate salesman who uses his clients houses for his trysts with the flaming darren tom hollander,joy,positive,1,,
732,anyway the plot flowed smoothly and the male bonding scenes were a hoot,unknown,negative,1,,
733,the opening sequence of this gem is a classic and the cat n mouse games that follow are a delight to watch,joy,positive,1,,
734,fans of the genre will be in heaven,unknown,positive,1,,
735,lange had become a great actress,joy,positive,1,,
736,it looked like a wonderful story,joy,positive,1,,
737,i never walked out of a movie faster,unknown,positive,0,,
738,i just got bored watching jessice lange take her clothes off,sadness,neutral,0,,
739,unfortunately any virtue in this film s production work was lost on a regrettable script,unknown,negative,0,,
